Date,Sales,CustomerID,Product,Quantity
2021-01-13,362.0,11,Product D,3
2021-01-16,147.0,5,Product A,5
2021-01-22,227.0,4,Product C,8
2021-01-01,231.0,9,Product B,5
2021-01-04,456.0,15,Product C,5
2021-01-28,280.0,1,Product C,2
2021-01-04,434.0,9,Product B,3
2021-01-08,243.0,8,Product D,8
2021-01-10,248.0,14,Product D,3
2021-01-20,,18,Product A,4
2021-01-22,379.0,1,Product A,8
2021-01-19,307.0,12,Product C,7
2021-01-05,497.0,5,Product B,7
2021-01-24,473.0,1,Product B,3
2021-01-07,441.0,11,Product A,4
2021-01-25,148.0,15,Product D,7
2021-01-25,405.0,19,Product A,1
2021-01-13,169.0,5,Product C,9
2021-01-27,269.0,4,Product A,1
2021-01-02,263.0,8,Product D,8
2021-01-07,195.0,9,Product B,7
2021-01-08,297.0,14,Product C,6
2021-01-24,194.0,6,Product D,7
2021-01-15,356.0,1,Product C,6
2021-01-25,469.0,9,Product B,3
2021-01-18,278.0,16,Product A,8
2021-01-06,392.0,16,Product A,2
2021-01-26,404.0,12,Product B,3
2021-01-14,449.0,5,Product A,3
2021-01-09,487.0,8,Product A,6
2021-01-10,198.0,14,Product C,7
2021-01-21,142.0,11,Product A,5
2021-01-20,468.0,15,Product A,3
2021-01-17,301.0,18,Product B,3
2021-01-20,,4,Product D,2
2021-01-06,100.0,10,Product B,1
2021-01-16,,19,Product B,1
2021-01-16,470.0,3,Product B,3
2021-01-01,143.0,12,Product B,9
2021-01-19,483.0,19,Product D,4
2021-01-04,123.0,14,Product B,1
2021-01-25,287.0,2,Product C,9
2021-01-18,230.0,7,Product A,9
2021-01-20,477.0,11,Product C,2
2021-01-30,198.0,17,Product A,1
2021-01-20,162.0,17,Product D,6
2021-01-20,322.0,4,Product D,9
2021-01-15,223.0,18,Product B,3
2021-01-08,182.0,11,Product D,4
2021-01-01,327.0,10,Product A,6
2021-01-02,248.0,13,Product D,4
2021-01-10,,14,Product C,9
2021-01-26,150.0,7,Product A,7
2021-01-01,370.0,7,Product D,5
2021-01-11,141.0,8,Product D,7
2021-01-21,158.0,9,Product D,4
2021-01-24,293.0,14,Product A,7
2021-01-04,136.0,8,Product B,3
2021-01-12,366.0,17,Product D,7
2021-01-19,186.0,16,Product D,6
2021-01-24,143.0,9,Product C,6
2021-01-29,460.0,4,Product B,5
2021-01-03,111.0,7,Product D,7
2021-01-01,358.0,18,Product D,6
2021-01-01,,8,Product B,2
2021-01-05,180.0,3,Product B,4
2021-01-22,132.0,17,Product A,4
2021-01-06,282.0,19,Product A,9
2021-01-07,228.0,14,Product D,6
2021-01-09,394.0,5,Product C,6
2021-01-21,375.0,5,Product A,7
2021-01-18,,13,Product A,1
2021-01-16,142.0,18,Product D,8
2021-01-05,471.0,2,Product C,6
2021-01-10,284.0,6,Product B,2
2021-01-11,177.0,2,Product C,6
2021-01-27,386.0,8,Product D,7
2021-01-25,380.0,10,Product C,7
2021-01-02,225.0,18,Product D,9
2021-01-02,358.0,10,Product D,8
2021-01-08,,1,Product A,6
2021-01-10,194.0,5,Product D,4
2021-01-26,326.0,18,Product C,3
2021-01-04,463.0,17,Product C,4
2021-01-07,369.0,4,Product A,3
2021-01-24,468.0,11,Product D,6
2021-01-12,396.0,2,Product C,5
2021-01-15,428.0,5,Product B,2
2021-01-19,119.0,5,Product A,6
2021-01-28,195.0,17,Product D,9
